Current_connection,City,Region,Nationality,Gender,Exact_Age,Connection,Segment,Performance,Preference,TRIM_Index,Communication,Proposition,Sales_Experience,Opt_inout,Network_Satisfaction,Customer_Support,Billing_Payment,Website_performance,Mobileapp_satisfaction,Performance_SNS_Promotions
Mobily,AR RIYADH,Central,Nationals,Female,27,Prepaid,VLV,4,4,100,9,5,,9,9,,9,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,42,Postpaid,VHV,4,4,100,10,10,,10,10,,10,,,
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,24,Prepaid,LV,4,4,100,,8,,9,8,,9,,,
Mobily,JEDDAH,Western,Nationals,Female,35,Prepaid,VLV,5,5,150,10,10,,10,9,,8,,,
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Male,29,Postpaid,MV,4,4,100,,10,,10,8,,5,7,10,
Mobily,AL KHUBAR,Eastern,Expat Arabs,Male,29,Prepaid,VLV,4,4,100,8,8,,9,6,10,8,8,9,7
Mobily,AL QATIF,Eastern,Nationals,Male,32,Prepaid,LV,5,5,150,8,10,,10,10,,9,,,
Mobily,JEDDAH,Western,Nationals,Female,30,Postpaid,HV,3,2,25,10,8,,10,10,,10,,,
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Female,24,Prepaid,MV,5,5,150,10,10,,9,10,,9,,,
Mobily,JIZAN,South,Expat Arabs,Male,40,Prepaid,VLV,5,5,150,10,10,,10,10,,10,,,
Mobily,HAFAR AL BATIN,Eastern,Nationals,Male,30,Postpaid,VHV,4,3,75,7,3,,0,3,,0,,,
Mobily,JEDDAH,Western,Nationals,Male,20,Postpaid,LV,3,3,50,6,7,,8,5,,5,6,,7
Mobily,AD DAMMAM,Eastern,Nationals,Male,18,Postpaid,VLV,5,5,150,6,10,,10,5,10,10,8,,
Mobily,MAKKAH AL MUKARRAMAH,Western,Expat Arabs,Female,55,Prepaid,VLV,5,4,125,10,10,,10,10,,10,,,
